Match Number,Round Number,Date,Location,Home Team,Away Team,Result
9,1,15/08/2025 18:45,Roazhon Park,Stade Rennais FC,Olympique de Marseille,1 - 0
4,1,16/08/2025 15:00,Stade Bollaert-Delelis,RC Lens,Olympique Lyonnais,0 - 1
6,1,16/08/2025 17:00,Stade Louis II,AS Monaco,Havre Athletic Club,3 - 1
8,1,16/08/2025 19:05,Allianz Riviera,OGC Nice,Toulouse FC,0 - 1
3,1,17/08/2025 13:00,Stade Francis-Le Blé,Stade Brestois 29,LOSC Lille,3 - 3
1,1,17/08/2025 15:15,Stade Raymond Kopa,Angers SCO,Paris FC,1 - 0
2,1,17/08/2025 15:15,Stade de l'Abbé-Deschamps,AJ Auxerre,FC Lorient,1 - 0
5,1,17/08/2025 15:15,Stade Saint-Symphorien,FC Metz,RC Strasbourg Alsace,0 - 1
7,1,17/08/2025 20:45,Stade de la Beaujoire,FC Nantes,Paris Saint-Germain,0 - 1
16,2,22/08/2025 18:45,Parc des Princes,Paris Saint-Germain,Angers SCO,1 - 0
14,2,23/08/2025 15:00,Stade Vélodrome,Olympique de Marseille,Paris FC,5 - 2
15,2,23/08/2025 17:00,Allianz Riviera,OGC Nice,AJ Auxerre,3 - 1
13,2,23/08/2025 19:05,Parc Olympique Lyonnais,Olympique Lyonnais,FC Metz,3 - 0
12,2,24/08/2025 13:00,Stade du Moustoir,FC Lorient,Stade Rennais FC,4 - 0
10,2,24/08/2025 15:15,Stade Océane,Havre Athletic Club,RC Lens,1 - 2
17,2,24/08/2025 15:15,Stade de la Meinau,RC Strasbourg Alsace,FC Nantes,1 - 0
18,2,24/08/2025 15:15,Stadium de Toulouse,Toulouse FC,Stade Brestois 29,2 - 0
11,2,24/08/2025 18:45,Stade Pierre-Mauroy,LOSC Lille,AS Monaco,1 - 0
21,3,29/08/2025 18:45,Stade Bollaert-Delelis,RC Lens,Stade Brestois 29,3 - 1
22,3,30/08/2025 15:00,Stade du Moustoir,FC Lorient,LOSC Lille,1 - 7
25,3,30/08/2025 17:00,Stade de la Beaujoire,FC Nantes,AJ Auxerre,1 - 0
27,3,30/08/2025 19:05,Stadium de Toulouse,Toulouse FC,Paris Saint-Germain,3 - 6
19,3,31/08/2025 13:00,Stade Raymond Kopa,Angers SCO,Stade Rennais FC,1 - 1
20,3,31/08/2025 15:15,Stade Océane,Havre Athletic Club,OGC Nice,3 - 1
24,3,31/08/2025 15:15,Stade Louis II,AS Monaco,RC Strasbourg Alsace,3 - 2
26,3,31/08/2025 15:15,Stade Charléty,Paris FC,FC Metz,3 - 2
23,3,31/08/2025 18:45,Parc Olympique Lyonnais,Olympique Lyonnais,Olympique de Marseille,1 - 0
